;country;2011 population;2012 population;2013 population;2014 population;2015 population;2016 population;2017 population;2011 mean;2012 mean;2013 mean;2014 mean;2015 mean;2016 mean;2017 mean
Kotka;FI;;;;72500;;72500;;;;;7.791130916;;12.7577727;
Kuopio;FI;;;;80000;;85588;;;;;7.858995357;;13.41656226;
Lahti;FI;;;;63000;;63000;;;;;24.26406803;;17.97284841;
Lappeenranta;FI;;;;60000;;60000;;;;;4.604210476;;14.53672407;
Oulu;FI;;;;195000;;174500;;;;;40.65830476;;10.31212671;
Rovaniemi;FI;;;;49000;;49000;;;;;12.34044373;;14.27392431;
Savonlinna;FI;;;;28000;;28000;;;;;1.156915714;;20.48270836;
Tampere;FI;;;;2.00E+05;2.00E+05;2.00E+05;2.00E+05;;;;9.663606143;28.16295415;27.08118193;44.50821911
Turku;FI;275000;275000;275000;285000;285000;285000;3.00E+05;;0;5.274132417;10.49749353;18.71939737;16.5849816;14.73073077
Vaasa;FI;;;;67000;;69252;;;;;8.750170576;;18.67038243;
Bordeaux (2);FR;;;;;;;481638;;;;;;;14.87805112
Bordeaux II;FR;;;;;;;227300;;;;;;;10.70166798
Bordeaux I;FR;;;;;;254338;254338;;;;;;13.81603979;18.61045402
Fort-de-France D;FR;;;;16500;;;;;;;0;;;
Fort-de-France P;FR;;;;19000;19000;;19000;;;;0;0;;0
Paris G;FR;;245500;;;;;;;;;;;;
Paris SC;FR;774600;;1004000;849662;643910;538943;461866;14.93698571;;26.05776024;22.52548358;32.11493095;31.96083081;43.43452743
Paris South Suburbs;FR;;;;;;;85263;;;;;;;5.194531418
Bristol;GB;;;;886650;886650;886650;886650;;;;31.39987718;53.11232953;51.2181191;33.04492349
London;GB;3400000;;3400000;3400000;3400000;3400000;;32.25163333;;32.65403216;67.89438332;54.95083324;0;
Athens;GR;;;3700000;3700000;3700000;3700000;3700000;;;2.449414324;4.404816266;3.433257799;2.533561668;2.485209807
Mytilene;GR;;;;;26000;;;;;;;0.81121728;;
Thessaloniki;GR;;;;850000;850000;;;;;;;;;
Zagreb;HR;650000;650000;650000;650000;650000;650000;650000;3.262571429;7.648870348;9.337167912;11.67879802;27.25663473;49.22393912;32.62124901
Tel-Aviv;IL;;;;;;2500000;;;;;;;11.96454932;
Reykjavik (2);IS;;;;;;186000;184292;;;;;;37.39432592;39.67284325
Reykjavik N;IS;;;;;93000;93000;97168;;;;;;37.62507227;36.51501641
Bari;IT;;;;;;;459650;;;;;;;1.257228661
Bologna;IT;;;;;;;5.00E+05;;;;;;;5.046825587
Gorizia;IT;;;;;;;34844;;;;;;;4.361775033
Milan;IT;1250000;1100000;1149477;1122501;1122501;1140000;1080000;7.576528571;8.735505325;4.959181252;3.958418445;6.70130955;4.448100025;4.344561508
Palermo;IT;;;;;;;360000;;;;;;;0
Potenza;IT;;;;;;;90000;;;;;;;0
Busan;KR;;;;;1164950;;;;;;;0;;
Bendern;LI;;;;37000;37000;;;;;;0;10.48119884;;
Vilnius;LT;;;;;;;545280;;;;;;;15.95915467
Malta;MT;;;;;296297;;;;;;;69.71386205;;
Amsterdam;NL;694800;769000;769000;769000;769000;;769000;77.24418;99.84000123;89.25255968;150.5145343;166.1626826;;230.2859918
Eindhoven;NL;448700;450300;450300;450300;450300;450300;450300;66.67707143;1456.982085;464.0523548;9296.409169;131.047576;125.7392265;165.0826451
Nieuwegein Ijssel.;NL;;;;;;;96000;;;;;;;48.45477895
Oudewater;NL;;;;;;;10110;;;;;;;26.39399552
Utrecht;NL;297000;3.00E+05;3.00E+05;3.00E+05;3.00E+05;3.00E+05;3.00E+05;615.3474714;161.8581049;83.11386453;85.97408752;62.01151921;88.74943076;59.81837146
Oslo;NO;557000;557000;576000;580639;580639;580639;580639;0;10.59615859;7.377356399;76.06431208;37.66188077;94.75836146;19.50022916
Auckland (2);NZ;;;;;1332000;;;;;;;1.958526203;;
Krakow (2);PL;;;;;;930000;930000;;;;;;4.361106633;7.420949149
Almada;PT;;;;138685;138685;138685;138685;;;;0;6.026710068;2.799870209;9.325861794
Lisbon;PT;;;426964;;426964;426964;426964;;;4.845671601;;22.9319066;26.91333026;38.31586699
Porto;PT;;;;;150000;150000;150000;;;;;10.26931234;10.77664457;10.81285362
Alba Iulia;RO;;;;;;63000;;;;;;;0;
Cluj Napoca;RO;;;350000;;;360000;;;;0;;;3.403452381;
Beograd;RS;;;;;;5.00E+05;;;;;;;5.383736571;
Novi Sad;RS;;;321282;;;;;;;7.09390608;;;;
Gothenburg;SE;;664441;664441;;;;;;0;5.847077038;;;;
Stockholm (2);SE;;;;;;784000;;;;;;;37.76448615;
Stockholm H;SE;315000;;;;;326000;;0;;;;;50.22888694;
Stockholm S;SE;;;;;;458000;;;;;;;28.89244541;
Umeå;SE;115800;115800;115800;;;;;0;0;4.503663953;;;;
Ljubljana;SI;;;;;;;266131;;;;;;;35.5884669
Bratislava (2);SK;;;440000;;470000;470000;6.00E+05;;;6.046720779;;13.46774985;26.40685502;10.11124595
Piestany;SK;;;30000;;30000;30000;30000;;;0;;0;10.15862857;2.242544524
Uzhhorod;UA;;;;;;116200;;;;;;;0;
Seattle;US;;;;;893000;893000;893000;;;;;16.77648537;11.0817611;6.319176091
